geneid, patientid, expression value
0, 0, 1524210.10
0, 1, 1531188.40
0, 2, 1052323.93
0, 3, 818673.47
0, 4, 1718158.21
0, 5, 664611.46
0, 6, 70785.52
0, 7, 1228449.70
0, 8, 477942.10
0, 9, 1176558.51
1, 0, 1764735.36
1, 1, 1790968.80
1, 2, 1531455.63
1, 3, 1005071.54
1, 4, 1140347.64
1, 5, 1066056.61
1, 6, 825219.39
1, 7, 1681718.24
1, 8, 1582205.29
1, 9, 581690.92
2, 0, 996022.03
2, 1, 1954402.78
2, 2, 1496870.57
2, 3, 402591.71
2, 4, 101888.96
2, 5, -71015.14
2, 6, 129256.89
2, 7, 440943.85
2, 8, 502371.34
2, 9, 1713498.11
3, 0, -33766.88
3, 1, 1264150.59
3, 2, 1672558.43
3, 3, 174435.75
3, 4, 791373.71
3, 5, 1048063.01
3, 6, 407845.56
3, 7, 59137.05
3, 8, 498617.53
3, 9, 825609.19
4, 0, 149905.90
4, 1, 327124.10
4, 2, 1577408.15
4, 3, 1445101.30
4, 4, 1668281.15
4, 5, 44570.30
4, 6, 299198.25
4, 7, 39904.44
4, 8, 1860665.25
4, 9, 281115.52
5, 0, 633590.83
5, 1, 406810.43
5, 2, 241917.03
5, 3, 1347956.39
5, 4, 1483907.47
5, 5, 1099171.57
5, 6, 1623096.48
5, 7, 1762179.94
5, 8, 63392.26
5, 9, 1443816.95
6, 0, 946318.77
6, 1, -159619.21
6, 2, 841955.84
6, 3, 1737528.44
6, 4, 877065.71
6, 5, 243709.61
6, 6, 620419.36
6, 7, 1063310.33
6, 8, 1078673.94
6, 9, 1157464.67
7, 0, 334752.51
7, 1, 672591.86
7, 2, 1639937.29
7, 3, 100976.12
7, 4, 1254981.08
7, 5, 756425.53
7, 6, 845643.62
7, 7, -26155.62
7, 8, 1985534.87
7, 9, 1006927.03
8, 0, 1116950.51
8, 1, 808494.85
8, 2, 328558.16
8, 3, 435971.87
8, 4, 241630.10
8, 5, 230054.36
8, 6, 1625110.72
8, 7, 290574.82
8, 8, 1601495.35
8, 9, 868722.53
9, 0, 1353743.33
9, 1, 467324.34
9, 2, -44633.87
9, 3, 1910956.27
9, 4, 1101609.72
9, 5, -89932.64
9, 6, 652633.59
9, 7, 839686.65
9, 8, 244265.79
9, 9, 218542.15
